@relation transactions-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.StringToNominal-R6-weka.filters.unsupervised.attribute.StringToNominal-R5

@attribute account_id numeric
@attribute days numeric
@attribute amount numeric
@attribute balance numeric
@attribute k_symbol {'INTEREST CREDITED','HOUSEHOLD PAYMENT','PAYMENT FOR STATEMENT','LOAN PAYMENT','OLD AGE PENSION',INSURRANCE,'SANCTION INTEREST IF NEG BAL'}
@attribute operation {'OTHER','REMITTED TO ANOTHER BANK','CASH WITHDRAWAL','FROM ANOTHER BANK'}
@attribute type {'CREDIT','WITHDRAWAL'}

@data
110,6,4516,34398.101563,'LOAN PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
7795,12,6202,139680,'LOAN PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
2524,9,6263,25662.099609,'OLD AGE PENSION','FROM ANOTHER BANK','CREDIT'
1425,13,4069,25646.900391,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
1499,0,122.199997,28804.5,'INTEREST CREDITED','OTHER','CREDIT'
547,31,71.5,17442.900391,'INTEREST CREDITED','OTHER','CREDIT'
3863,5,8504,10247.700195,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
2489,16,14.6,28460.199219,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
3251,0,72.800003,16867.400391,'INTEREST CREDITED','OTHER','CREDIT'
10001,0,193.699997,45763.300781,'INTEREST CREDITED','OTHER','CREDIT'
2821,7,3933,13738,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
3937,0,5258,6058,'OLD AGE PENSION','FROM ANOTHER BANK','CREDIT'
55,2,4629,22566,'OLD AGE PENSION','FROM ANOTHER BANK','CREDIT'
1539,0,73.900002,28243,'INTEREST CREDITED','OTHER','CREDIT'
1286,22,100,83801.5,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
8856,28,201.800003,58460.699219,'INTEREST CREDITED','OTHER','CREDIT'
