@relation transactions-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.StringToNominal-R6-weka.filters.unsupervised.attribute.StringToNominal-R5

@attribute account_id numeric
@attribute days numeric
@attribute amount numeric
@attribute balance numeric
@attribute k_symbol {'INTEREST CREDITED','HOUSEHOLD PAYMENT','PAYMENT FOR STATEMENT','LOAN PAYMENT','OLD AGE PENSION',INSURRANCE,'SANCTION INTEREST IF NEG BAL'}
@attribute operation {'OTHER','REMITTED TO ANOTHER BANK','CASH WITHDRAWAL','FROM ANOTHER BANK'}
@attribute type {'CREDIT','WITHDRAWAL'}

@data
3372,14,9838,73612.601563,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
9640,0,216.800003,47586.800781,'INTEREST CREDITED','OTHER','CREDIT'
9640,0,183.800003,47468.601563,'INTEREST CREDITED','OTHER','CREDIT'
1765,0,50.099998,11835,'INTEREST CREDITED','OTHER','CREDIT'
1765,2,2011,19887.699219,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
2062,10,107,24214.800781,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
3939,0,131.699997,32753.199219,'INTEREST CREDITED','OTHER','CREDIT'
1548,19,14.6,19074.599609,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
987,31,150.800003,43054.199219,'INTEREST CREDITED','OTHER','CREDIT'
2747,0,60.299999,14677.400391,'INTEREST CREDITED','OTHER','CREDIT'
1940,5,4660,18296.099609,'OLD AGE PENSION','FROM ANOTHER BANK','CREDIT'
3655,0,150,34351.898438,'INTEREST CREDITED','OTHER','CREDIT'
3655,7,1124,22870.900391,INSURRANCE,'REMITTED TO ANOTHER BANK','WITHDRAWAL'
1425,18,14.6,52455.398438,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
251,0,222.399994,56354.898438,'INTEREST CREDITED','OTHER','CREDIT'
251,0,159.600006,35320.898438,'INTEREST CREDITED','OTHER','CREDIT'
744,5,5740,20825.099609,'OLD AGE PENSION','FROM ANOTHER BANK','CREDIT'
5072,1,1863,31656.800781,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
2492,13,6901,14521,'OLD AGE PENSION','FROM ANOTHER BANK','CREDIT'
3543,30,14.6,14023.099609,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
2354,11,9071,27384.699219,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
4727,12,4485,46771.300781,'LOAN PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
5546,0,157.100006,29738.400391,'INTEREST CREDITED','OTHER','CREDIT'
2932,19,14.6,46579.898438,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
117,0,83.699997,18475,'INTEREST CREDITED','OTHER','CREDIT'
2613,0,91.099998,22858,'INTEREST CREDITED','OTHER','CREDIT'
3472,4,9623,56399.800781,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
2690,0,105.099998,25451.199219,'INTEREST CREDITED','OTHER','CREDIT'
1469,0,128.300003,31352.900391,'INTEREST CREDITED','OTHER','CREDIT'
8341,0,1.1,7903.700195,'INTEREST CREDITED','OTHER','CREDIT'
4260,2,4075.5,35191.898438,'LOAN PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
4260,18,14.6,13279.700195,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
3863,23,14.6,21511.699219,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
2155,25,14.6,14641,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
3370,0,150.699997,8840,'INTEREST CREDITED','OTHER','CREDIT'
3370,0,117.099998,36136.101563,'INTEREST CREDITED','OTHER','CREDIT'
7176,5,6110,45666.398438,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
718,0,305.399994,91986.898438,'INTEREST CREDITED','OTHER','CREDIT'
1450,18,28.700001,19963.599609,'INTEREST CREDITED','OTHER','CREDIT'
4287,31,14.6,23426.400391,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
6706,7,1982,49212.398438,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
1522,0,4.1,1804.099976,'INTEREST CREDITED','OTHER','CREDIT'
2489,8,5781,22896.5,'OLD AGE PENSION','FROM ANOTHER BANK','CREDIT'
3251,0,72,17628.199219,'INTEREST CREDITED','OTHER','CREDIT'
1618,0,114.699997,26844.300781,'INTEREST CREDITED','OTHER','CREDIT'
3136,16,14.6,63830.101563,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
1909,3,928,16995.099609,INSURRANCE,'REMITTED TO ANOTHER BANK','WITHDRAWAL'
1909,0,76.300003,17685.599609,'INTEREST CREDITED','OTHER','CREDIT'
729,10,1872,15354.5,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
729,10,1872,18628.199219,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
1937,2,2933,22647,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
1937,12,4896,23775.699219,'OLD AGE PENSION','FROM ANOTHER BANK','CREDIT'
2865,9,2,25456.800781,INSURRANCE,'REMITTED TO ANOTHER BANK','WITHDRAWAL'
2673,25,14.6,17828.199219,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
1897,11,8458,29391.800781,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
695,0,79.5,19289,'INTEREST CREDITED','OTHER','CREDIT'
10001,31,14.6,34207.5,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
2345,0,119.900002,32222.099609,'INTEREST CREDITED','OTHER','CREDIT'
2345,17,14.6,42526.601563,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
2715,30,14.6,18834,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
860,0,134.600006,31677.199219,'INTEREST CREDITED','OTHER','CREDIT'
860,0,147.399994,38139.5,'INTEREST CREDITED','OTHER','CREDIT'
3347,21,14.6,20228.199219,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
2305,0,0.8,1282.199951,'INTEREST CREDITED','OTHER','CREDIT'
3937,0,5258,6058,'OLD AGE PENSION','FROM ANOTHER BANK','CREDIT'
3937,0,60.200001,15328.099609,'INTEREST CREDITED','OTHER','CREDIT'
55,19,14.6,16741.900391,'PAYMENT FOR STATEMENT','CASH WITHDRAWAL','WITHDRAWAL'
3053,12,3790,25941.300781,'HOUSEHOLD PAYMENT','REMITTED TO ANOTHER BANK','WITHDRAWAL'
